"","child_sex","cluster","EREP_1.1.1","EREP_1.1.2","EREP_1.2.1","EREP_1.2.2","EREP_1.3.1","EREP_1.3.2","EREP_4.1.1","EREP_4.1.2","EREP_4.2.1","EREP_4.2.2","EREP_4.3.1","EREP_4.3.2","EREP_6.1.1","EREP_6.1.2","EREP_6.2.1","EREP_6.2.2","EREP_6.3.1","EREP_6.3.2","EREP_7.1.1","EREP_7.1.2","EREP_7.2.1","EREP_7.2.2","EREP_7.3.1","EREP_7.3.2","EREP_8.1.1","EREP_8.1.2","EREP_8.2.1","EREP_8.2.2","EREP_8.3.1","EREP_8.3.2","EREP_10.1.1","EREP_10.1.2","EREP_10.2.1","EREP_10.2.2","EREP_10.3.1","EREP_10.3.2","EREP_2.1.1","EREP_2.1.2","EREP_2.2.1","EREP_2.2.2","EREP_2.3.1","EREP_2.3.2","EREP_3.1.1","EREP_3.1.2","EREP_3.2.1","EREP_3.2.2","EREP_3.3.1","EREP_3.3.2","EREP_5.1.1","EREP_5.1.2","EREP_5.2.1","EREP_5.2.2","EREP_5.3.1","EREP_5.3.2","EREP_9.1.1","EREP_9.1.2","EREP_9.2.1","EREP_9.2.2","EREP_9.3.1","EREP_9.3.2","EREP_12.1.1","EREP_12.1.2","EREP_12.2.1","EREP_12.2.2","EREP_12.3.1","EREP_12.3.2"
"1",2,1.1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"2",2,24.1,4,1,NA,NA,4,1,4,1,NA,NA,3,2,4,1,NA,NA,7,2,4,7,NA,NA,1,2,4,1,NA,NA,4,1,4,3,NA,NA,4,2,1,1,NA,NA,4,1,1,1,NA,NA,2,1,1,1,NA,NA,2,1,6,7,NA,NA,6,7,6,7,NA,NA,6,7
"3",2,12.2,6,1,4,1,4,1,4,4,4,4,4,4,5,4,4,4,4,2,4,6,1,1,1,1,4,4,4,4,4,4,6,4,6,2,4,7,6,4,4,4,4,4,5,4,1,4,1,4,5,4,6,4,4,4,7,7,2,7,2,7,7,6,4,5,4,7
"4",1,14.1,NA,1,NA,NA,6,7,NA,1,NA,NA,1,1,NA,1,NA,NA,3,3,6,1,NA,NA,2,1,NA,1,NA,NA,2,1,NA,5,NA,NA,1,5,2,1,NA,NA,1,1,2,1,NA,NA,1,1,1.8000774823641,1,NA,NA,1,1,6,7,NA,NA,6,7,6,7,NA,NA,5,7
"5",1,1.1,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,6,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,5,7,NA,NA,NA,NA,5,5,NA,NA,NA,NA
"6",2,11.2,5,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,6,NA,NA,NA,NA,2,2,NA,NA,NA,NA,5,5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,5,NA,NA,NA,NA,6,7,NA,NA,NA,NA
"7",2,16.1,4,6,1,5,5,7,1,1,1,1,1,1,1,3,1,6,3,7,1,1,3,4,3,5,5,1,1,1,1,1,5,5,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,7,6,7,7,7,7,7,6,7
"8",1,11.2,4,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,2,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,5,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,7,NA,NA,NA,NA
"9",2,16.1,1,1,2,1,2,5,1,1,1,1,1,1,1,1,2,2,2,5,2,2,1,1,2,1,1,1,1,1,1,1,6,6,2,2,6,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,6,7,6,6,7,7,6,7
"10",1,16.2,5,5,7,4,7,2,2,2,4,3,1,1,3,5,4,4,6,6,4,4,3,4,6,5,2,2,1,3,1,1,5,5,5,5,5,7,1,2,5,3,1,1,2,2,1,4,1,1,2,2,1,3,1,2,6,5,7,6,7,5,7,7,7,5,6,7
"11",1,19.1,5,2,NA,NA,5,2,1,4,NA,NA,1,6,5,3,NA,NA,6,7,1,5,NA,NA,2,6,1,3,NA,NA,2,1,7,6,NA,NA,6,6,1,6,NA,NA,2,NA,1,5,NA,NA,1,5,1,2,NA,NA,1,7,6,6,NA,NA,5,7,6,6,NA,NA,6,7
"12",1,8.2,1,2,1,1,NA,NA,1,1,1,1,NA,NA,2,2,1,2,NA,NA,6,6,1,1,NA,NA,1,2,1,1,NA,NA,4,5,5,5,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,6,7,5,7,NA,NA,7,7,6,5,NA,NA
"13",1,7.2,1,4,4,4,6,2,2,1,5,1,2,1,5,4,1,5,6,3,6,7,4,1,4,1,3,1,1,1,5,1,5,4,6,4,7,4,1,3,5,1,6,1,1,1,1,1,1,1,1,2,1,1,1,1,5,7,5,7,6,7,6,7,6,7,7,7
"14",2,22.1,7,7,3,1,1,1,5,5,4,2,3,3,4,4,4,2,7,7,5,5,4,1,6,6,4,4,4,1,5,5,4,4,4,7,6,6,3,3,4,2,3,3,4,4,4,1,2,2,3,3,4,1,3,3,4,4,4,7,2,2,7,7,4,7,7,7
"15",2,18.1,1,1,1,1,5,1,1,2,1,1,2,1,2,1,1,1,4,1,7,7,1,1,2,1,1,1,1,1,1,1,1,7,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,7,6,7,7,7,5,7
"16",2,7.2,1,4,7,7,7,5,1,1,1,1,4,1,1,4,3,2,6,5,4,3,5,1,6,5,1,4,1,1,3,1,1,6,2,7,5,6,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,7,7,7,7,7,7,7,7,7,7
"17",2,14.1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,6,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1.8000774823641,1,NA,NA,NA,NA,6,7,NA,NA,NA,NA,6,7,NA,NA,NA,NA
"18",2,17.1,6,4,7,6,5,3,1,2,1,3,2,5,1,6,4,6,2,6,6,5,3,5,2,4,1,2,1,2,2,3,1,6,5,6,4,6,1,2,1,3,2,2,1,1,1,2,2,1,1,1,1,1,2,1,7,6,7,7,6,6,4,6,7,7,5,6
"19",2,13.1,1,5,5,5,4,5,1,5,1,2,1,5,4,5,4,3,5,5,4,5,5,4,1,5,1,1,1,1,1,1,4,7,6,5,3,4,1,6,1,5,1,7,1,1,1,1,1,3,1,1,1,1,1,4,7,7,7,7,7,6,7,7,7,6,6,7
"20",2,22.1,4,4,NA,NA,4,5,2,2,NA,NA,4,5,2,5,NA,NA,4,5,4,6,NA,NA,4,4,5,4,NA,NA,4,5,2,7,NA,NA,3,6,2,3,NA,NA,4,4,2,3,NA,NA,4,1,3,1,NA,NA,4,5,3,6,NA,NA,3,3,3,4,NA,NA,4,3
"21",2,18.3,4,1,6,1,6,1,3,1,5,1,1,1,3,1,7,2,1,5,4,3,7,1,1,1,1,1,7,1,1,1,4,5,7,5,6,6,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,7,7,2,6,6,6,7,7,7,7,6,7
"22",2,12.1,3,1,4,3,5,2,3,1,2,1,1,4,6,1,7,5,6,6,2,5,4,2,4,2,2,1,5,5,4,5,4,3,5,5,6,5,3,2,1,5,1,5,1,1,1,2,1,5,3,1,1,1,1,5,4,6,6,5,5,5,5,6,6,5,6,4
"23",2,16.1,4,1,NA,4,4,4,4,1,NA,1,4,1,5,6,NA,1,1,5,1,7,NA,1,1,2,3,1,NA,1,4,1,1,7,NA,7,6,7,4,1,NA,1,4,1,4,1,NA,1,4,1,4,1,NA,1,1,1,1,7,NA,7,7,7,4,7,NA,6,1,6
"24",2,7.2,4,2,3,1,4,1,4,1,3,3,2,2,4,4,3,2,2,3,4,4,3,1,2,2,4,4,3,1,4,1,4,2,3,3,4,4,4,2,3,4,4,1,4,1,3,4,2,1,4,1,3,1,2,1,4,6,3,7,4,7,4,5,4,6,5,6
"25",2,7.2,1,4,1,4,1,2,1,1,1,1,1,1,1,3,1,2,1,1,7,4,1,4,1,1,1,1,1,1,1,1,1,5,1,4,1,6,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7
"26",2,10.2,5,5,NA,NA,3,2,1,6,NA,NA,2,1,4,6,NA,NA,4,2,5,6,NA,NA,5,2,2,2,NA,NA,3,3,5,7,NA,NA,4,7,2,4,NA,NA,3,5,2,2,NA,NA,2,1,2,1,NA,NA,2,1,6,6,NA,NA,6,7,6,6,NA,NA,5,5
"27",2,18.1,4,6,4,4,4,4,2,4,2,1,2,2,1,4,4,4,3,3,3,4,4,4,2,2,1,2,4,4,2,1,2,2,5,6,3,5,4,2,4,4,3,3,1,2,2,1,2,3,1,2,1,1,2,3,7,6,6,6,6,6,5,5,5,6,5,7
"28",2,19.2,4,5,5,5,NA,NA,1,1,2,2,NA,NA,4,3,5,5,NA,NA,4,7,2,4,NA,NA,3,5,2,6,NA,NA,6,5,6,5,NA,NA,6,5,4,6,NA,NA,5,3,2,4,NA,NA,3,3,3,3,NA,NA,6,5,6,5,NA,NA,6,5,6,5,NA,NA
"29",2,13.1,4,5,2,5,5,7,4,5,1,1,1,4,2,6,4,5,4,7,6,6,1,2,1,4,2,1,1,4,2,4,5,7,4,7,4,7,4,4,1,2,3,4,1,4,1,1,1,1,2,1,1,1,1,1,7,6,5,6,6,5,5,6,5,7,6,7
"30",2,14.1,1,7,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,6,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,3,NA,NA,NA,NA,7,7,NA,NA,NA,NA,6,6,NA,NA,NA,NA
"31",2,16.1,2,4,3,4,1,4,1,4,1,1,1,1,1,5,3,1,2,1,4,7,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2,5,1,4,2,2,3,1,1,1,2,1,1,1,1,1,1,1,2,1,6,7,7,7,1,7,6,7,4,6,5,7
"32",2,24.1,6,5,1,5,1,5,4,1,1,1,5,1,4,6,1,5,1,6,1,6,1,3,2,4,1,2,1,1,1,1,6,6,7,6,6,6,1,3,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,7,6,7,6,7,6,7,7,7,6,7,7
"33",1,17.1,7,4,7,6,7,7,6,1,1,1,1,1,2,5,7,1,5,5,2,4,4,4,5,5,2,4,1,1,1,1,6,6,6,7,7,7,6,4,1,1,2,2,1,1,1,1,1,1,1,5,1,1,1,1,6,5,6,5,6,6,7,6,7,7,7,7
"34",1,24.1,2,4,2,1,4,1,2,1,2,4,4,1,2,4,2,4,4,4,6,6,2,1,4,1,2,4,2,1,4,1,2,5,4,2,4,6,2,1,2,1,4,1,2,1,2,1,4,1,2,1,2,1,4,1,5,6,4,6,4,7,5,7,4,6,4,7
"35",1,5.1,4,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"36",1,18.2,7,7,NA,NA,6,NA,5,5,NA,NA,6,NA,5,6,NA,NA,NA,NA,3,4,NA,NA,7,NA,4,1,NA,NA,5,NA,3,4,NA,NA,NA,NA,1,3,NA,NA,5,NA,1,2,NA,NA,NA,NA,7,1,NA,NA,4,NA,7,2,NA,NA,7,NA,7,6,NA,NA,7,NA
"37",1,13.1,4,1,NA,NA,4,2,5,1,NA,NA,4,2,6,3,NA,NA,5,2,3,6,NA,NA,4,2,3,2,NA,NA,4,2,7,6,NA,NA,4,3,4,1,NA,NA,2,2,4,1,NA,NA,4,2,5,1,NA,NA,3,2,6,7,NA,NA,6,6,6,7,NA,NA,6,5
"38",1,1.1,1,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,7,NA,NA,NA,NA,5,6,NA,NA,NA,NA
"39",1,19.3,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,6,NA,NA,NA,NA
"40",1,13.2,1,3,2,5,3,5,1,2,2,2,2,2,1,4,2,4,3,2,1,4,2,2,1,1,1,2,2,2,2,1,3,4,4,5,4,5,1,4,2,2,4,4,1,1,2,2,3,2,1,1,2,2,1,1,7,6,6,5,6,6,6,6,4,5,5,6
"41",1,6.1,2,5,4,2,6,2,1,1,1,1,4,1,2,6,7,7,2,7,2,5,4,2,1,4,1,1,1,1,1,1,1,4,3,4,1,4,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,2,7,7,7,7,6,7,6,7,7
"42",1,16.1,1,1,2,1,6,1,1,1,1,1,1,1,1,1,2,1,3,1,7,2,1,1,1,1,1,1,1,1,1,1,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,6,6,6,6,7,7
"43",1,11.2,4,6,6,4,NA,NA,4,1,2,1,NA,NA,6,6,2,5,NA,NA,4,7,5,1,NA,NA,4,2,1,1,NA,NA,4,7,2,5,NA,NA,4,2,2,4,NA,NA,4,1,2,1,NA,NA,4,1,1,1,NA,NA,6,7,6,6,NA,NA,6,7,6,6,NA,NA
"44",1,18.1,7,4,NA,NA,7,6,1,4,NA,NA,4,4,4,1,NA,NA,1,5,1,4,NA,NA,4,3,1,4,NA,NA,4,4,1,5,NA,NA,1,7,1,3,NA,NA,1,4,1,2,NA,NA,1,1,1,2.00149664318969,NA,NA,1,2,7,6,NA,NA,7,6,7,6,NA,NA,7,5
"45",1,5.2,6,5,1,1,7,1,4,1,1,1,1,1,3,5,5,5,5,5,3,7,1,1,3,2,7,1,1,1,5,1,3,5,5,5,5,7,3,2,2,1,1,5,1,1,1,1,1,1,2,1,1,1,1,2,6,5,7,7,6,7,5,7,7,7,4,7
"46",1,19.3,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,1,NA,NA,NA,NA,1,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,6,6,NA,NA,NA,NA
"47",1,15.1,5,4,5,1,NA,NA,2,1,4,1,NA,NA,4,1,6,1,NA,NA,6,4,4,1,NA,NA,4,4,5,1,NA,NA,5,5,3,1,NA,NA,6,1,4,1,NA,NA,1,1,1,1,NA,NA,2,1,2,1,NA,NA,5,6,5,6,NA,NA,6,6,6,4,NA,NA
"48",2,12.2,1,1,NA,NA,NA,2,1,1,NA,NA,NA,2,1,2,NA,NA,NA,5,1,6,NA,NA,NA,2,1,3,NA,NA,NA,2,6,6,NA,NA,NA,6,1,1,NA,NA,NA,5,1,1,NA,NA,NA,2,1,1,NA,NA,NA,2,6,6,NA,NA,NA,5,5,3,NA,NA,NA,5
"49",1,7.2,1,2,NA,NA,NA,NA,3,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,6,NA,NA,NA,NA,4,6,NA,NA,NA,NA,5,5,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,2,NA,NA,NA,NA,5,6,NA,NA,NA,NA,2,7,NA,NA,NA,NA
"50",1,19.3,1,6,NA,NA,NA,NA,2,7,NA,NA,NA,NA,3,7,NA,NA,NA,NA,4,2,NA,NA,NA,NA,4,7,NA,NA,NA,NA,2,7,NA,NA,NA,NA,1,7,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,6,NA,NA,NA,NA,2,6,NA,NA,NA,NA,2,7,NA,NA,NA,NA
"51",2,20.1,4,3,6,1,6,2,4,4,1,1,4,1,5,3,5,2,2,1,6,3,1,1,1,1,6,1,4,1,1,1,6,4,5,1,6,3,6,5,4,1,5,5,3,1,1,1,1,1,1,1,1,1,1,1,5,7,7,5,6,7,7,6,6,4,7,6
"52",2,7.2,6,2,6,1,6,2,3,1,3,1,4,1,6,2,7,2,7,6,1,7,7,1,7,2,4,1,1,1,2,1,7,5,4,5,6,3,5,1,5,1,5,1,3,1,3,1,3,1,4,1,3,1,6,1,7,7,7,6,6,7,7,7,7,7,7,7
"53",1,16.2,7,4,2,1,5,2,1,1,1,1,1,2,2,5,2,5,4,7,1,5,2,1,3,5,1,1,1,4,1,1,5,5,2,1,4,4,2,1,1,1,2,2,1,1,1,1,1,5,1,1,1,1,1,1,3,6,3,1,1,6,7,7,5,7,4,7
"54",1,2.1,3,5,4,4,NA,NA,2,1,4,4,NA,NA,2,5,1,5,NA,NA,6,6,1,5,NA,NA,1,1,1,4,NA,NA,5,7,7,6,NA,NA,1,1,4,4,NA,NA,1,1,4,4,NA,NA,1,1,1,4,NA,NA,6,6,5,6,NA,NA,6,6,6,6,NA,NA
"55",2,17.1,4,5,6,5,5,6,4,2,2,2,2,6,4,6,3,6,3,6,3,4,3,4,5,4,4,5,2,4,1,4,3,7,4,6,3,7,5,3,1,4,5,4,2,1,1,1,2,1,5,1,1,1,2,1,3,6,5,5,2,6,5,7,3,6,3,5
"56",2,25.1,NA,1,4,5,3,6,NA,2,2,1,3,4,NA,1,1,2,3,4,6,7,1,1,1,2,NA,3,1,1,2,3,NA,4,6,5,6,5,2,3,2,4,4,7,2,3,2,1,3,1,1.80911560885415,4,1,1,2,5,6,6,6,7,6,7,6,5,6,7,7,6
"57",1,5.2,1,2,NA,NA,4,4,1,1,NA,NA,4,1,1,4,NA,NA,2,7,6,4,NA,NA,1,5,4,6,NA,NA,2,6,7,6,NA,NA,1,6,4,2,NA,NA,4,1,2,1,NA,NA,4,1,2,1,NA,NA,2,1,3,4,NA,NA,5,6,2,3,NA,NA,2,6
"58",2,3.3,6,3,2,5,2,5,2,2,1,1,1,1,6,5,2,5,4,5,3,6,1,4,5,3,4,3,1,2,2,3,5,5,2,5,5,5,6,5,1,2,2,3,2,2,1,1,1,1,2,4,1,1,2,1,2,4,3,5,3,5,4,5,6,6,6,6
"59",2,14.1,4,1,NA,NA,7,5,1,1,NA,NA,1,4,5,1,NA,NA,5,NA,7,1,NA,NA,1,1,1,1,NA,NA,1,1,6,4,NA,NA,4,4,1,1,NA,NA,1,5,1,1,NA,NA,1,4,1,1,NA,NA,1,NA,7,6,NA,NA,6,7,6,4,NA,NA,5,7
"60",1,3.3,3,3,NA,NA,6,2,7,2,NA,NA,5,2,1,2,NA,NA,7,3,1,3,NA,NA,7,2,1,2,NA,NA,5,2,1,2,NA,NA,2,3,1,1,NA,NA,2,4,1,1,NA,NA,2,1,1,2,NA,NA,2,2,4,6,NA,NA,2,6,4,6,NA,NA,7,5
"61",1,13.1,6,5,2,5,4,3,5,1,1,2,3,2,2,5,6,5,5,6,3,6,4,2,4,1,1,2,1,2,4,1,6,5,2,5,5,5,5,4,5,3,5,2,6,2,6,1,5,1,6,1,3.66940388401267,1,4,1,7,6,6.16875436515848,6,5,7,7,7,7,7,7,6
"62",1,21.2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,5,2,5,6,7,6,1,1,1,1,1,2,1,1,1,1,4,6,2,7,5,6,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,7,7,6,7,6,7,7,7,6,7,6,7
"63",1,18.2,1,4,1,1,2,6,1,5,1,1,1,1,1,6,2,3,4,3,7,6,1,2,1,5,1,1,1,1,1,1,4,6,5,7,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7
"64",2,14.1,6,4,NA,NA,NA,4,2,2,NA,NA,NA,4,3,5,NA,NA,NA,5,2,4,NA,NA,NA,2,3,1,NA,NA,NA,2,3,4,NA,NA,NA,5,5,3,NA,NA,NA,4,2,2,NA,NA,NA,4,2,1,NA,NA,NA,2,4,7,NA,NA,NA,6,6,4,NA,NA,NA,5
"65",1,17.1,NA,NA,4,2,4,1,NA,NA,4,1,4,1,NA,NA,4,4,4,5,NA,NA,1,1,4,1,NA,NA,4,1,4,1,NA,NA,3,7,4,6,NA,NA,4,7,4,7,NA,NA,4,5,4,5,NA,NA,4,4,4,6,NA,NA,4,2,4,2,NA,NA,5,4,4,3
"66",1,12.2,4,5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,6,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,6,NA,NA,NA,NA,2,5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,5,NA,NA,NA,NA,4,5,NA,NA,NA,NA
"67",1,24.1,1,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,7,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"68",1,10.4,4,3,4,2,NA,NA,2,2,1,3,NA,NA,2,2,3,5,NA,NA,4,1,2,2,NA,NA,2,2,2,2,NA,NA,5,5,6,2,NA,NA,1,1,4,4,NA,NA,1,1,3,1,NA,NA,1,1,1,2,NA,NA,7,7,6,7,NA,NA,7,6,6,6,NA,NA
"69",1,7.2,1,NA,4,5,4,4,1,NA,1,1,1,5,1,NA,1,1,4,5,1,6,1,1,1,4,1,NA,1,1,1,4,1,NA,1,3,2,5,1,2.41721973043684,1,1,4,2,1,1.75826434851784,1,1,1,1,1,1.8000774823641,1,1,1,3,7,6,1,7,7,3,6,6,7,7,7,7
